POOLED exp2 over 3 seeds (T=1500 trials/cell). z = mean(err_x^2 - err_raw^2)/SE

       arm      m    n/m     d |  rmse_raw rmse_clip  rmse_tpm |  dCLIP%   dTPM% |   z_clip    z_tpm |  bind%
     ideal   4096   8.00  1.02 |   0.01516   0.01396   0.01184 |    7.92   21.89 |    -7.83   -14.50 |   8.67
     ideal   4096   8.00  1.10 |   0.01488   0.01488   0.01489 |    0.00   -0.04 |     0.00     0.96 |   0.00
     ideal   4096  16.00  1.00 |   0.01594   0.01129   0.01582 |   29.16    0.74 |   -16.18    -0.43 |  49.13
     ideal   4096  16.00  1.02 |   0.01583   0.01443   0.01205 |    8.82   23.89 |    -8.34   -15.49 |  10.67
     ideal   4096  16.00  1.10 |   0.01549   0.01549   0.01547 |    0.00    0.09 |     0.00    -2.10 |   0.00
     ideal   4096  32.00  1.00 |   0.01562   0.01109   0.01565 |   29.02   -0.16 |   -18.45     0.10 |  50.07
     ideal   4096  32.00  1.02 |   0.01610   0.01486   0.01245 |    7.73   22.69 |    -9.16   -16.90 |  10.73
     ideal   4096  32.00  1.10 |   0.01563   0.01563   0.01564 |    0.00   -0.03 |     0.00     0.70 |   0.00
     ideal  16384   0.05  1.00 |   0.00548   0.00399   0.00708 |   27.11  -29.30 |   -17.57    19.65 |  53.27
     ideal  16384   0.05  1.02 |   0.00556   0.00556   0.00515 |    0.00    7.50 |     0.00   -17.19 |   0.00
     ideal  16384   0.05  1.10 |   0.00581   0.00581   0.00581 |    0.00   -0.02 |     0.00     0.79 |   0.00
     ideal  16384   0.10  1.00 |   0.00557   0.00416   0.00716 |   25.43  -28.42 |   -18.15    20.47 |  51.73
     ideal  16384   0.10  1.02 |   0.00569   0.00568   0.00524 |    0.04    7.81 |    -1.00   -14.35 |   0.07
     ideal  16384   0.10  1.10 |   0.00554   0.00554   0.00554 |    0.00   -0.00 |     0.00     0.05 |   0.00
     ideal  16384   0.25  1.00 |   0.00590   0.00410   0.00706 |   30.49  -19.74 |   -17.78    12.18 |  51.80
     ideal  16384   0.25  1.02 |   0.00560   0.00560   0.00517 |    0.00    7.66 |     0.00   -15.46 |   0.00
     ideal  16384   0.25  1.10 |   0.00592   0.00592   0.00592 |    0.00   -0.01 |     0.00     0.41 |   0.00
     ideal  16384   0.50  1.00 |   0.00590   0.00418   0.00713 |   29.13  -20.94 |   -17.38    13.16 |  51.47
     ideal  16384   0.50  1.02 |   0.00610   0.00610   0.00564 |    0.00    7.60 |     0.00   -14.48 |   0.00
     ideal  16384   0.50  1.10 |   0.00598   0.00598   0.00598 |    0.00    0.01 |     0.00    -0.31 |   0.00
